"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","BROADCAST DATE"
"Gujarat Alkalies and Chemicals Limited","73436928","33986310","    46.28","39450618","0","     0.00","     0.00","09-Apr-2021 11:30:14","3057400","72536245","4.21","09-Apr-2021 11:30:14"
"Gujarat Ambuja Exports Limited","229335330","146398984","    63.84","82936346","0","     0.00","     0.00","09-Apr-2021 11:30:19","4392624","213034396","2.06","09-Apr-2021 11:30:19"
"Gujarat Apollo Industries Limited","12661915","7141651","    56.40","5520264","0","     0.00","     0.00","09-Apr-2021 11:30:17","180393","12501711","1.44","09-Apr-2021 11:30:17"
"Gujarat Industries Power Company Limited","151251188","84236161","    55.69","67015027","0","     0.00","     0.00","09-Apr-2021 11:30:12","4911515","150416354","3.27","09-Apr-2021 11:30:12"
"Gujarat Lease Financing Limited","27125767","12387222","    45.67","14738545","0","     0.00","     0.00","09-Apr-2021 11:30:14","114642","24425850","0.47","09-Apr-2021 11:30:14"
"Gujarat Mineral Development Corporation Limited","318000000","235320000","    74.00","82680000","0","     0.00","     0.00","09-Apr-2021 11:30:18","8946649","317521833","2.82","09-Apr-2021 11:30:18"
"Gujarat NRE Coke Limited","52488010","17501468","    33.34","34986542","17501468","   100.00","    33.34","09-Apr-2021 11:30:30","17916273","52185757","34.33","09-Apr-2021 11:30:30"
"Gujarat NRE Coke Limited","1604548645","406914064","    25.36","1197634581","200915089","    49.38","    12.52","09-Apr-2021 11:30:17","211961822","1601485108","13.24","09-Apr-2021 11:30:17"
"Gujarat Narmada Valley Fertilizers and Chemicals Limited","155418783","64006713","    41.18","91412070","0","     0.00","     0.00","09-Apr-2021 11:30:05","6604569","149007127","4.43","09-Apr-2021 11:30:05"
"Gujarat Pipavav Port Limited","483439910","212738931","    44.01","270700979","0","     0.00","     0.00","09-Apr-2021 11:30:31","5624651","482845186","1.16","09-Apr-2021 11:30:31"
"Gujarat Raffia Industries Limited","5404500","2121685","    39.26","3282815","0","     0.00","     0.00","09-Apr-2021 11:30:17","4041","3260555","0.12","09-Apr-2021 11:30:17"
"Gujarat Sidhee Cement Limited","88201870","61970201","    70.26","26231669","0","     0.00","     0.00","09-Apr-2021 11:30:33","1502516","87748387","1.71","09-Apr-2021 11:30:33"
"Gujarat State Fertilizers & Chemicals Limited","398477530","150799905","    37.84","247677625","0","     0.00","     0.00","09-Apr-2021 11:30:15","17216676","390553307","4.41","09-Apr-2021 11:30:15"
"Gujarat State Petronet Limited","564211376","212305270","    37.63","351906106","0","     0.00","     0.00","09-Apr-2021 11:30:23","3102742","564195215","0.55","09-Apr-2021 11:30:23"
"Gulf Oil Lubricants India Limited","50290953","36219224","    72.02","14071729","0","     0.00","     0.00","09-Apr-2021 11:30:33","206858","49665649","0.42","09-Apr-2021 11:30:33"
"Gyscoal Alloys Limited","158275560","102695160","    64.88","55580400","0","     0.00","     0.00","09-Apr-2021 11:30:31","2327417","158275530","1.47","09-Apr-2021 11:30:31"
"HBL Power Systems Limited","277194946","162051067","    58.46","115143879","0","     0.00","     0.00","09-Apr-2021 11:30:25","4685490","274685492","1.71","09-Apr-2021 11:30:25"
"HCL Infosystems Limited","329209928","207031161","    62.89","122178767","0","     0.00","     0.00","09-Apr-2021 11:30:19","6351592","327357111","1.94","09-Apr-2021 11:30:19"
"HCL Technologies Limited","2713665096","1637190274","    60.33","1076474822","0","     0.00","     0.00","09-Apr-2021 11:30:18","8648942","2712712758","0.32","09-Apr-2021 11:30:18"
"HDFC Bank Limited","5507656932","2192741359","    39.81","3314915573","0","     0.00","     0.00","09-Apr-2021 11:30:12","55004438","5499692591","1","09-Apr-2021 11:30:12"
"HEG Limited","38595506","23010031","    59.62","15585475","0","     0.00","     0.00","09-Apr-2021 11:30:14","916217","38163460","2.4","09-Apr-2021 11:30:14"
"HFCL Limited","1284377194","540093812","    42.05","744283382","241548750","    44.72","    18.81","09-Apr-2021 11:30:31","398423570","1283909109","31.03","09-Apr-2021 11:30:31"
"HIL Limited","7492543","3059212","    40.83","4433331","0","     0.00","     0.00","09-Apr-2021 11:30:13","453830","7436898","6.1","09-Apr-2021 11:30:13"
"HLV LIMITED","630551766","298087074","    47.27","332464692","240442344","    80.66","    38.13","09-Apr-2021 11:30:11","3714057","626120245","0.59","09-Apr-2021 11:30:11"
"HMT Limited","1204091640","1128056626","    93.69","76035014","0","     0.00","     0.00","09-Apr-2021 11:30:14","1325900","760224891","0.17","09-Apr-2021 11:30:14"
"HOV Services Limited","12588972","6349829","    50.44","6239143","0","     0.00","     0.00","09-Apr-2021 11:30:25","394361","12521380","3.15","09-Apr-2021 11:30:25"
"HSIL Limited","64951040","38972819","    60.00","25978221","0","     0.00","     0.00","09-Apr-2021 11:30:14","2253609","64108939","3.52","09-Apr-2021 11:30:14"
"HT Media Limited","232748314","163955383","    70.44","68792931","0","     0.00","     0.00","09-Apr-2021 11:30:23","7803850","232733951","3.35","09-Apr-2021 11:30:23"
"Harita Seating Systems Limited","7769040","5144962","    66.22","2624078","0","     0.00","     0.00","09-Apr-2021 11:30:29","361029","7602807","4.75","09-Apr-2021 11:30:29"
"Harrisons  Malayalam Limited","18455405","9987498","    54.12","8467907","0","     0.00","     0.00","09-Apr-2021 11:30:12","819877","17901705","4.58","09-Apr-2021 11:30:12"
"Hathway Cable & Datacom Limited","1770104500","1665562230","    94.09","104542270",,,,"09-Apr-2021 11:30:30","8994554","1770104484","0.51","09-Apr-2021 11:30:30"
"Hatsun Agro Product Limited","215563323","159659987","    74.07","55903336","2470000","     1.55","     1.15","09-Apr-2021 11:30:33","5823217","213981713","2.72","09-Apr-2021 11:30:33"
"Havells India Limited","626013006","372499880","    59.50","253513126","0","     0.00","     0.00","09-Apr-2021 11:30:19","1753173","624732679","0.28","09-Apr-2021 11:30:19"
"HeidelbergCement India Limited","226613116","157244693","    69.39","69368423","0","     0.00","     0.00","09-Apr-2021 11:30:11","6357620","225463322","2.82","09-Apr-2021 11:30:11"
"Hercules Hoists Limited","32000000","22275720","    69.61","9724280",,,,"09-Apr-2021 11:30:28","426371","30323750","1.41","09-Apr-2021 11:30:28"
"Heritage Foods Limited","46398000","18512092","    39.90","27885908","0","     0.00","     0.00","09-Apr-2021 11:30:17","747832","45798300","1.63","09-Apr-2021 11:30:17"
"Hero MotoCorp Limited","199767610","69442081","    34.76","130325529","0","     0.00","     0.00","09-Apr-2021 11:30:12","1943297","198621291","0.98","09-Apr-2021 11:30:12"
"Hester Biosciences Limited","8506865","4570944","    53.73","3935921","0","     0.00","     0.00","09-Apr-2021 11:30:33","183489","8169443","2.25","09-Apr-2021 11:30:33"
"Hexa Tradex Limited","55244704","31967817","    57.87","23276887","0","     0.00","     0.00","09-Apr-2021 11:30:33","921058","54458446","1.69","09-Apr-2021 11:30:33"
"Hi-Tech Pipes Limited","10926100","6851883","    62.71","4074217","479600","     7.00","     4.39","09-Apr-2021 11:30:34","756152","11076100","6.83","09-Apr-2021 11:30:34"
"High Ground Enterprise Limited","115115949","57006068","    49.52","58109881","7000000","    12.28","     6.08","09-Apr-2021 11:30:34","8947684","110646169","8.09","09-Apr-2021 11:30:34"
"Hikal Limited","123300750","84792764","    68.77","38507986","0","     0.00","     0.00","09-Apr-2021 11:30:20","3705820","122921820","3.01","09-Apr-2021 11:30:20"
"Hilton Metal Forging Limited","12443016","6264097","    50.34","6178919","0","     0.00","     0.00","09-Apr-2021 11:30:27","353944","12443011","2.84","09-Apr-2021 11:30:27"
"Himadri Speciality Chemical Limited","418807782","190318874","    45.44","228488908","0","     0.00","     0.00","09-Apr-2021 11:30:10","26534900","415479840","6.39","09-Apr-2021 11:30:10"
"Himatsingka Seide Limited","98457160","46834592","    47.57","51622568","0","     0.00","     0.00","09-Apr-2021 11:30:05","4347051","97860745","4.44","09-Apr-2021 11:30:05"
"Hind Rectifiers Limited","16563723","6998856","    42.25","9564867","0","     0.00","     0.00","09-Apr-2021 11:30:25","335279","13621799","2.46","09-Apr-2021 11:30:25"
"Hind Syntex Limited","12718600","6135182","    48.24","6583418",,,,"09-Apr-2021 11:30:14","52269","11814087","0.44","09-Apr-2021 11:30:14"
"Hindalco Industries Limited","2246582938","784225169","    34.91","1462357769","0","     0.00","     0.00","09-Apr-2021 11:30:15","11383973","2206035336","0.52","09-Apr-2021 11:30:15"
"Hinduja Global Solutions Limited","20877255","14029452","    67.20","6847803","0","     0.00","     0.00","09-Apr-2021 11:30:27","901014","20839587","4.32","09-Apr-2021 11:30:27"
"Hindustan Composites Limited","14769000","11073030","    74.97","3695970","0","     0.00","     0.00","09-Apr-2021 11:30:12","88946","14331458","0.62","09-Apr-2021 11:30:12"
"Hindustan Construction Company Limited","1513028244","525214871","    34.71","987813373","483932677","    92.14","    31.98","09-Apr-2021 11:30:09","541135577","1508667992","35.87","09-Apr-2021 11:30:09"
"Hindustan Copper Limited","925218000","703587852","    76.05","221630148","0","     0.00","     0.00","09-Apr-2021 11:30:30","21311036","925183937","2.3","09-Apr-2021 11:30:30"
"Hindustan Media Ventures Limited","73671548","55038643","    74.71","18632905","0","     0.00","     0.00","09-Apr-2021 11:30:30","234631","73668736","0.32","09-Apr-2021 11:30:30"
"Hindustan Motors Limited","208659293","67473254","    32.34","141186039","0","     0.00","     0.00","09-Apr-2021 11:30:31","2911853","202208597","1.44","09-Apr-2021 11:30:31"
"Hindustan Oil Exploration Company Limited","132243289","5745","     0.00","132237544","0","     0.00","     0.00","09-Apr-2021 11:30:08","14238852","131290558","10.85","09-Apr-2021 11:30:08"
"Hindustan Petroleum Corporation Limited","1510388506","778845375","    51.57","731543131","0","     0.00","     0.00","09-Apr-2021 11:30:06","25016076","1450480850","1.72","09-Apr-2021 11:30:06"
"Hindustan Unilever Limited","2349556255","1454412858","    61.90","895143397","0","     0.00","     0.00","09-Apr-2021 11:30:15","9445065","2321417531","0.41","09-Apr-2021 11:30:15"
"Hindustan Zinc Limited","4225319000","2743154310","    64.92","1482164690","626192276","    22.83","    14.82","09-Apr-2021 11:30:15","631716938","4222765850","14.96","09-Apr-2021 11:30:15"
"Hindusthan National Glass & Industries Limited","89553565","63338840","    70.73","26214725","61123840","    96.50","    68.25","09-Apr-2021 11:30:29","72117129","89549134","80.53","09-Apr-2021 11:30:29"
"Hitech Corporation Limited","17175700","12784480","    74.43","4391220","0","     0.00","     0.00","09-Apr-2021 11:30:28","102752","16856637","0.61","09-Apr-2021 11:30:28"
"Honda India Power Products Limited","10143071","6762000","    66.67","3381071",,,,"09-Apr-2021 11:30:11","142959","10015446","1.43","09-Apr-2021 11:30:11"
"Honeywell Automation India Limited","8841523","6631142","    75.00","2210381","0","     0.00","     0.00","09-Apr-2021 11:30:09","66870","8789485","0.76","09-Apr-2021 11:30:09"
"Hotel Rugby Limited","14322800","3927952","    27.42","10394848","0","     0.00","     0.00","09-Apr-2021 11:30:15","449902","13359450","3.37","09-Apr-2021 11:30:15"
"Housing Development Finance Corporation Limited","1803946433","0","     0.00","1803946433","0",,"     0.00","09-Apr-2021 11:30:12","16396929","1797736830","0.91","09-Apr-2021 11:30:12"
"Housing Development and Infrastructure Limited","454003986","178351266","    39.28","275652720","0","     0.00","     0.00","09-Apr-2021 11:30:27","10082123","473965932","2.13","09-Apr-2021 11:30:27"
"Hubtown Limited","72735871","37165686","    51.10","35570185","34125475","    91.82","    46.92","09-Apr-2021 11:30:26","36753405","72735854","50.53","09-Apr-2021 11:30:26"
"Huhtamaki India Limited","75521934","51153997","    67.73","24367937","0","     0.00","     0.00","09-Apr-2021 11:30:12","3036938","74976256","4.05","09-Apr-2021 11:30:12"
"ICDS Limited","13026700","6801304","    52.21","6225396","0","     0.00","     0.00","09-Apr-2021 11:30:18","473","10486993","0","09-Apr-2021 11:30:18"
"ICICI Bank Limited","6903693527","1385016385","    20.06","5518677142","0","     0.00","     0.00","09-Apr-2021 11:30:17","47932344","6898738444","0.69","09-Apr-2021 11:30:17"
"ICRA Limited","9651231","5037572","    52.20","4613659","0","     0.00","     0.00","09-Apr-2021 11:30:26","39428","9650989","0.41","09-Apr-2021 11:30:26"
"ICSA (India) Limited","48138500","2983421","     6.20","45155079","2932143","    98.28","     6.09","09-Apr-2021 11:30:25","4614892","47473453","9.72","09-Apr-2021 11:30:25"
"IDBI Bank Limited","10752402175","10183974842","    94.71","568427333","0","     0.00","     0.00","09-Apr-2021 11:30:11","58572531","10743696324","0.55","09-Apr-2021 11:30:11"
"IDFC Limited","1596358316","0","     0.00","1596358316","0",,"     0.00","09-Apr-2021 11:30:23","129622377","1596351062","8.12","09-Apr-2021 11:30:23"
"IFB Agro Industries Limited","9367111","6089180","    65.01","3277931","0","     0.00","     0.00","09-Apr-2021 11:30:12","103762","8949302","1.16","09-Apr-2021 11:30:12"
"IFB Industries Limited","40518796","30373199","    74.96","10145597","0","     0.00","     0.00","09-Apr-2021 11:30:05","1247565","39804876","3.13","09-Apr-2021 11:30:05"
"IFCI Limited","1895993092","1156955857","    61.02","739037235","0","     0.00","     0.00","09-Apr-2021 11:30:11","55756482","1882260174","2.96","09-Apr-2021 11:30:11"
"IG Petrochemicals Limited","30794850","21167142","    68.74","9627708","0","     0.00","     0.00","09-Apr-2021 11:30:05","1187870","29782991","3.99","09-Apr-2021 11:30:05"
"IIFL Finance Limited","378469509","94547490","    24.98","283922019","0","     0.00","     0.00","09-Apr-2021 11:30:22","10400487","378567885","2.75","09-Apr-2021 11:30:22"
"IL&FS Engineering and Construction Company Limited","131121078","55400884","    42.25","75720194","0","     0.00","     0.00","09-Apr-2021 11:30:27","1112257","128307847","0.87","09-Apr-2021 11:30:27"
"IL&FS Investment Managers Limited","314032740","158333152","    50.42","155699588","158333152","   100.00","    50.42","09-Apr-2021 11:30:18","5076756","308944125","1.64","09-Apr-2021 11:30:18"
"IL&FS Transportation Networks Limited","328960027","240849000","    73.22","88111027","236582632","    98.23","    71.92","09-Apr-2021 11:30:30","2359064","328954369","0.72","09-Apr-2021 11:30:30"
"IMP Powers Limited","8636563","4576604","    52.99","4059959","2524589","    55.16","    29.23","09-Apr-2021 11:30:16","1338917","8599356","15.57","09-Apr-2021 11:30:16"
"INEOS Styrolution India Limited","17585625","13189218","    75.00","4396407","0","     0.00","     0.00","09-Apr-2021 11:30:11","681055","17435499","3.91","09-Apr-2021 11:30:11"
"INOX Leisure Limited","112661675","53555179","    47.54","59106496","0","     0.00","     0.00","09-Apr-2021 11:30:23","1187978","112656343","1.05","09-Apr-2021 11:30:23"
"IOL Chemicals and Pharmaceuticals Limited","58705502","25648998","    43.69","33056504","0","     0.00","     0.00","09-Apr-2021 11:30:31","4555195","58159760","7.83","09-Apr-2021 11:30:31"
"IPCA Laboratories Limited","126852109","58716236","    46.29","68135873","0","     0.00","     0.00","09-Apr-2021 11:30:15","775500","126076615","0.62","09-Apr-2021 11:30:15"
"IRB Infrastructure Developers Limited","351450000","205972598","    58.61","145477402","35645000","    17.31","    10.14","09-Apr-2021 11:30:28","19025034","351449902","5.41","09-Apr-2021 11:30:28"
"ISMT Limited","146501383","75760903","    51.71","70740480","68900000","    90.94","    47.03","09-Apr-2021 11:30:27","70906690","134042410","52.9","09-Apr-2021 11:30:27"
"ITC Limited","12305114571","14502025","     0.12","12290612546","0","     0.00","     0.00","09-Apr-2021 11:30:12","156795243","8592977828","1.82","09-Apr-2021 11:30:12"
"ITD Cementation India Limited","171787584","80113180","    46.64","91674404","0","     0.00","     0.00","09-Apr-2021 11:30:18","4178608","171101129","2.44","09-Apr-2021 11:30:18"
"ITI Limited","933522869","841010919","    90.09","92511950","0","     0.00","     0.00","09-Apr-2021 11:30:09","2982763","932884615","0.32","09-Apr-2021 11:30:09"
"IVP Limited","10326263","7317237","    70.86","3009026","0","     0.00","     0.00","09-Apr-2021 11:30:09","32786","10202275","0.32","09-Apr-2021 11:30:09"
"IVRCL Limited","782897692","42032166","     5.37","740865526","42032166","   100.00","     5.37","09-Apr-2021 11:30:19","47674180","782689950","6.09","09-Apr-2021 11:30:19"
"IZMO Limited","13067173","3832624","    29.33","9234549","0","     0.00","     0.00","09-Apr-2021 11:30:26","378342","12986783","2.91","09-Apr-2021 11:30:26"
"Igarashi Motors India Limited","31475048","23606288","    75.00","7868760","0","     0.00","     0.00","09-Apr-2021 11:30:10","991762","31258161","3.17","09-Apr-2021 11:30:10"
"Iifl Wealth Management Limited","87658159","20146136","    22.98","67512023",,,,"09-Apr-2021 11:30:35","1352586","87846578","1.54","09-Apr-2021 11:30:35"
